,chain,hs_lat,hs_lon,time,iteration,model,plateid
9021,Hawaii,27.531746749422915,-172.87575859825668,30.0,23,Trench_frame,901
9022,Hawaii,25.106154671207097,-166.77168044436013,20.0,23,Trench_frame,901
9023,Hawaii,21.961761764082254,-161.52938219158094,10.0,23,Trench_frame,901
9024,Hawaii,19.0,-155.0,0.0,23,Trench_frame,901
9025,Hawaii,56.64922935987744,170.5872176140592,90.0,24,Trench_frame,901
9026,Hawaii,48.79120899804586,172.91420635042516,80.0,24,Trench_frame,901
9027,Hawaii,41.31090609041261,176.68290382686362,70.0,24,Trench_frame,901
9028,Hawaii,35.9468165680099,176.94133562161556,60.0,24,Trench_frame,901
9029,Hawaii,31.721934086828462,178.85409687578925,50.0,24,Trench_frame,901
9030,Hawaii,29.405805664401907,-176.31495061571127,40.0,24,Trench_frame,901
9031,Hawaii,27.178036710917876,-172.85484781380964,30.0,24,Trench_frame,901
9032,Hawaii,24.914812346954772,-167.22202967711456,20.0,24,Trench_frame,901
9033,Hawaii,22.125111657369505,-161.69804186036166,10.0,24,Trench_frame,901
9034,Hawaii,19.0,-155.0,0.0,24,Trench_frame,901
9035,Hawaii,55.12043069312317,171.40183394847202,90.0,25,Trench_frame,901
9036,Hawaii,47.74000417302723,172.64597515143873,80.0,25,Trench_frame,901
9037,Hawaii,40.59514265139738,175.27818150483344,70.0,25,Trench_frame,901
9038,Hawaii,35.23403596674523,175.64022494222726,60.0,25,Trench_frame,901
9039,Hawaii,30.403590775707354,178.6702894639196,50.0,25,Trench_frame,901
9040,Hawaii,26.67763600429901,-176.0158180627326,40.0,25,Trench_frame,901
9041,Hawaii,28.2738146924533,-173.33511884869586,30.0,25,Trench_frame,901
9042,Hawaii,25.793303479732177,-167.84764974298108,20.0,25,Trench_frame,901
9043,Hawaii,22.862754062809113,-161.70960852049478,10.0,25,Trench_frame,901
9044,Hawaii,19.0,-155.0,0.0,25,Trench_frame,901
9045,Hawaii,57.13068024505689,168.94281705972097,90.0,26,Trench_frame,901
9046,Hawaii,49.37822147859414,170.7735110633899,80.0,26,Trench_frame,901
9047,Hawaii,41.76483463471399,175.13856805200305,70.0,26,Trench_frame,901
9048,Hawaii,36.50164721766631,175.48871790226,60.0,26,Trench_frame,901
9049,Hawaii,32.04468682715918,178.13105103267955,50.0,26,Trench_frame,901
9050,Hawaii,28.970403172383126,-176.94449314896593,40.0,26,Trench_frame,901
9051,Hawaii,28.28501644647029,-172.53234017576236,30.0,26,Trench_frame,901
9052,Hawaii,25.608751953806678,-166.94141754598803,20.0,26,Trench_frame,901
9053,Hawaii,22.094890469379965,-161.75945494760612,10.0,26,Trench_frame,901
9054,Hawaii,19.0,-155.0,0.0,26,Trench_frame,901
9055,Hawaii,52.08140197560748,171.7537157806248,90.0,27,Trench_frame,901
9056,Hawaii,44.67825443570142,173.44850826299816,80.0,27,Trench_frame,901
9057,Hawaii,37.4911395704968,175.9480529739135,70.0,27,Trench_frame,901
9058,Hawaii,32.21029397262618,176.32506428856237,60.0,27,Trench_frame,901
9059,Hawaii,27.804945115505973,179.71420531215009,50.0,27,Trench_frame,901
9060,Hawaii,24.64734623268539,-175.29579546089275,40.0,27,Trench_frame,901
9061,Hawaii,26.36470864185937,-172.6225933185644,30.0,27,Trench_frame,901
9062,Hawaii,25.292408072236118,-166.6906743037461,20.0,27,Trench_frame,901
9063,Hawaii,22.074637531218197,-161.46666620767067,10.0,27,Trench_frame,901
9064,Hawaii,19.0,-155.0,0.0,27,Trench_frame,901
9065,Hawaii,56.138194403335106,173.22521312220547,90.0,28,Trench_frame,901
9066,Hawaii,48.810445064530946,174.70215349992262,80.0,28,Trench_frame,901
9067,Hawaii,41.48173954345732,177.85938138014077,70.0,28,Trench_frame,901
9068,Hawaii,36.195265744641155,177.65808188932118,60.0,28,Trench_frame,901
